cpd;nome;classe
338919;"					  TRIUNFO FLEX 06.12.00 D:1,16-LITRO";ADJUVANTE OLEOSO
371851;"					  TRIUNFO NEUTRUM - LITRO";ADJUVANTE OLEOSO
594146;"					  ASSIST EC - BD/20LTS";ADJUVANTE OLEOSO
491428;"					  ACQUASIX FULL 05.1500 - LITRO";ADJUVANTE OLEOSO
"					  330110";"					  DISCO AGRO GL/5LTS";ADJUVANTE OLEOSO
"					  306299";"					  AUREO GL/5LTS";ADJUVANTE OLEOSO
"					  113792";"					  FULLTEC S - BAG 2 LTS";ADJUVANTE OLEOSO
"					  499380";"					  ACQUASIX FLY N - GL/05LTS";ADJUVANTE OLEOSO
"					  499399";"					  ACQUASIX FLY N - BD/20LTS";ADJUVANTE OLEOSO
"					  133294";"					  ASSIST  GL/5LTS";ADJUVANTE OLEOSO
"					  387639";"					  AUREO BD/20LTS";ADJUVANTE OLEOSO
"					  594154";"					  ASSIST EC - GL/5LTS";ADJUVANTE OLEOSO
"					  240236";"					  LANZAR  GL/5LTS";ADJUVANTE OLEOSO
"					  287354";"					  DISCO AGRO - LT";ADJUVANTE OLEOSO
"					  133286";"					  ASSIST - LT";ADJUVANTE OLEOSO
"					  475880";"					  FULLTEC (06.14.00) GL/5LTS";ADJUVANTE OLEOSO
"					  133308";"					  ASSIST  BD/20LTS";ADJUVANTE OLEOSO
"					  499410";"					  ACQUASIX FULL 05.1500 - BD/20LTS";ADJUVANTE OLEOSO
"					  475864";"					  EMULTEC PLUS TAMBOR 200LTS";ADJUVANTE OLEOSO
"					  222645";"					  NIMBUS  GL/5LTS";ADJUVANTE OLEOSO
"					  256798";"					  JOINT OIL - GL/5LTS";ADJUVANTE OLEOSO
"					  499402";"					  ACQUASIX FULL 05.1500 - GL/5LTS";ADJUVANTE OLEOSO
"					  475856";"					  EMULTEC PLUS - BD/20LTS";ADJUVANTE OLEOSO
"					  867681";"					  ADJUST PLATINUM - GL/05LTS";ADJUVANTE OLEOSO
"					  475848";"					  EMULTEC PLUS - GL/5LTS";ADJUVANTE OLEOSO
"					  360862";"					  DASH HC GL/05LTS";ADJUVANTE OLEOSO
"					  453097";"					  NIMBUS BD/20LTS";ADJUVANTE OLEOSO
"					  475902";"					  FULLTEC (06.14.00) TAMBOR 200LTS";ADJUVANTE OLEOSO
"					  763717";"					  AGRHO S BOOST ELX - GL/5LTS";ADJUVANTE OLEOSO
"					  762146";"					  MEES - BD/20LTS";ADJUVANTE OLEOSO
"					  754054";"					  OCHIMA - BD/20LTS";ADJUVANTE OLEOSO
"					  609801";"					  OCHIMA - GL/5LTS";ADJUVANTE OLEOSO
"					  766613";"					  IHAROL GOLD - GL/5LTS";ADJUVANTE OLEOSO
"					  579732";"					  JOINT OIL - BD/20LTS";ADJUVANTE OLEOSO
"					  475830";"					  EMULTEC PLUS - LT";ADJUVANTE OLEOSO
"					  283987";"					  FULLTEC (06.14.00) - LT";ADJUVANTE OLEOSO
"					  759595";"					  FULLTEC MAX FERT FOLIAR  - GL/10LTS";ADJUVANTE OLEOSO
"					  475899";"					  FULLTEC (06.14.00) BD/20LTS";ADJUVANTE OLEOSO
"					  587336";"					  IHAROL GOLD - BD/20LTS";ADJUVANTE OLEOSO
"					  444950";"					  ACQUASIX FLY N TAMBOR 200LTS";ADJUVANTE OLEOSO
"					  762120";"					  MEES - GL/5LTS";ADJUVANTE OLEOSO
"					  219407";"					  NATUR""L OLEO  BD/20LTS";ADJUVANTE OLEOSO
"					  865999";"					  ADJUST HERB - GL/05 LTS";ADJUVANTE OLEOSO
"					  845386";"					  RIZOSPRAY QUID OIL - GL/5LTS";ADJUVANTE OLEOSO
"					  222246";"					  NATUR""L OLEO TAMBOR 200LTS";ADJUVANTE OLEOSO
"					  865972";"					  ADJUST SILVER NT -GL/05LTS";ADJUVANTE OLEOSO
"					  1382";"					  AGRHO S BOOST IFA - GL/10LTS";ADJUVANTE OLEOSO
"					  757630";"					  NATURAL OLEO BD/20LTS";ADJUVANTE OLEOSO
"					  759587";"					  FULLTEC MAX FERT FOLIAR - GL/5LTS";ADJUVANTE OLEOSO
"					  759668";"					  EMULTEC MAX FERT FOLIAR - GL/10LTS";ADJUVANTE OLEOSO
"					  759609";"					  FULLTEC MAX - TAMBOR/200LTS";ADJUVANTE OLEOSO
"					  759676";"					  EMULTEC MAX FERT FOLIAR-TAMB/200LTS";ADJUVANTE OLEOSO
"					  759650";"					  EMULTEC MAX FERT FOLIAR - GL/5LTS";ADJUVANTE OLEOSO
"					  759579";"					  FULLTEC MAX - LT";ADJUVANTE OLEOSO
"					  3687";"					  JOINT ULTRA - GL/5LTS";ADJUVANTE OLEOSO
"					  2300";"					  STRIDES - GL/5LTS";ADJUVANTE OLEOSO
"					  806844";"					  FULLTEC S MAX FERT FOLIAR - GL/5LTS";ADJUVANTE OLEOSO
"					  759641";"					  EMULTEC MAX FERT FOLIAR - LT";ADJUVANTE OLEOSO
"					  806828";"					  EMULTEC S MAX FERT FOLIAR - GL/5LTS";ADJUVANTE OLEOSO
"					  759684";"					  EMULTEC MAX FERT FOLIAR-IBC/1000LTS";ADJUVANTE OLEOSO
"					  759617";"					  FULLTEC MAX - IBC/1000LTS";ADJUVANTE OLEOSO
"					  921600";"					  COMPATIVE MAX ADJ PET - LT";ADJUVANTE OLEOSO
"					  20728";"					  ADJUST HERB - BD/20 LTS";ADJUVANTE OLEOSO
"					  20726";"					  ADJUST SILVER NT - BD/20 LTS";ADJUVANTE OLEOSO
"					  22752";"					  ADGREEN - BD/20LTS";ADJUVANTE OLEOSO
"					  20729";"					  ADJUST PLATINUM - BD/20 LTS";ADJUVANTE OLEOSO
"					  488923";"					  ACQUASIX FLY N - LITRO";ADJUVANTE OLEOSO
"					  22371";"					  CELLUS FERT FOLIAR - TB 200LTS";ADJUVANTE OLEOSO
"					  806836";"					  FULLTEC S MAX FERT FOLIAR - 1LT";ADJUVANTE OLEOSO
"					  444969";"					  ACQUASIX FULL 05.1500 TAMBOR 200LTS";ADJUVANTE OLEOSO
"					  14130";"					  ORIX AD - BD/20LTS";ADJUVANTE OLEOSO
"					  14171";"					  ARVATICO - GL/05LTS";BIOLOGICOS
"					  16336";"					  BLUE N - PCT/5KG";BIOLOGICOS
"					  930177";"					  FLYCONTROL 2 LTS";BIOLOGICOS
"					  3802";"					  NEMACONTROL 2LTS";BIOLOGICOS
"					  23045";"					  NEMACONTROL SUPER 2LTS";BIOLOGICOS
"					  930126";"					  OCTANE SC - GL/5LTS";BIOLOGICOS
"					  406101";"					  RIZOTEC - PCT 2 KG";BIOLOGICOS
"					  797593";"					  SERENADE - GL/5LTS";BIOLOGICOS
"					  16139";"					  SOLUBPHOS 2LTS";BIOLOGICOS
"					  14150";"					  STIMUCONTROL (SC) - GL/5LTS";BIOLOGICOS
"					  7123";"					  TRIANUM DS - PCT 1 KG";BIOLOGICOS
"					  13986";"					  VOTIVO PRIME - GL/05LTS";BIOLOGICOS
"					  2315";"					  VOTIVO PRIME - LT";BIOLOGICOS
"					  360896";"					  ABACUS HC - GL/05LTS";FUNGICIDAS
"					  360900";"					  ABACUS HC - LITRO";FUNGICIDAS
"					  11074";"					  ABSOLUTO FIX - BD/20LTS";FUNGICIDAS
"					  906902";"					  ALADE - BD/20LTS";FUNGICIDAS
"					  906899";"					  ALADE - GL/5LTS";FUNGICIDAS
"					  236982";"					  APPROVE - PCT/1KG";FUNGICIDAS
"					  237555";"					  APPROVE - PCT/5KG";FUNGICIDAS
"					  9563";"					  APROACH POWER - BD/20LTS";FUNGICIDAS
"					  932954";"					  APROACH POWER - GL/10LTS";FUNGICIDAS
"					  13989";"					  APROACH PREMIUM - GL/10LTS";FUNGICIDAS
"					  383730";"					  APROACH PRIMA - GL/10LTS";FUNGICIDAS
"					  312964";"					  APROACH PRIMA - GL/5LTS";FUNGICIDAS
"					  312883";"					  APROACH PRIMA - LITRO";FUNGICIDAS
"					  584662";"					  ATIVUM - GL/10LTS";FUNGICIDAS
"					  20467";"					  ATIVUM - GL/5LTS";FUNGICIDAS
"					  2834";"					  BELYAN - GL/05LTS";FUNGICIDAS
"					  10264";"					  BELYAN - GL/10LTS";FUNGICIDAS
"					  911736";"					  BLAVITY - GL/10LTS";FUNGICIDAS
"					  911728";"					  BLAVITY - GL/5LTS";FUNGICIDAS
"					  403501";"					  BRAVONIL 500 - GL/5LTS";FUNGICIDAS
"					  788217";"					  BRAVONIL 720 - BD/20LTS";FUNGICIDAS
"					  340640";"					  BRAVONIL 720 - GL/5LTS";FUNGICIDAS
"					  903512";"					  BRAVONIL TOP - BD/20LTS";FUNGICIDAS
"					  383560";"					  CARBOMAX 500 SC - BD/20LTS";FUNGICIDAS
"					  332477";"					  CARBOMAX 500 SC - GL/ 05 LTS";FUNGICIDAS
"					  371987";"					  CERCOBIN 500 SC GL/10LTS";FUNGICIDAS
"					  708493";"					  CERCOBIN 875 WG - PCT/1KG";FUNGICIDAS
"					  665816";"					  CERCOBIN 875 WG - PCT/5KG";FUNGICIDAS
"					  371995";"					  CERTEZA N - GL/5 LTS";FUNGICIDAS
"					  366789";"					  CERTEZA N - LT";FUNGICIDAS
"					  481880";"					  COPSUPER - GL/5LTS";FUNGICIDAS
"					  704676";"					  CYPRESS 400 EC  -  LT";FUNGICIDAS
"					  403510";"					  CYPRESS 400 EC - BD/20LTS";FUNGICIDAS
"					  403528";"					  CYPRESS 400 EC - GL/5LTS";FUNGICIDAS
"					  264646";"					  DEROSAL PLUS - GL/5LTS";FUNGICIDAS
"					  449595";"					  ELATUS PCT/5KG";FUNGICIDAS
"					  3805";"					  EVOLUTION - PCT/10KG";FUNGICIDAS
"					  885";"					  EXCALIA MAX - BD/20LTS";FUNGICIDAS
"					  884";"					  EXCALIA MAX - GL/5LTS";FUNGICIDAS
"					  476770";"					  FOX - BD/20LTS";FUNGICIDAS
"					  370069";"					  FOX - GL/5LTS";FUNGICIDAS
"					  4177";"					  FOX SUPRA - BD/20LTS";FUNGICIDAS
"					  4176";"					  FOX SUPRA - GL/5LTS";FUNGICIDAS
"					  22950";"					  FOX ULTRA - BD/20LTS";FUNGICIDAS
"					  22949";"					  FOX ULTRA - GL/5LTS";FUNGICIDAS
"					  594013";"					  FOX XPRO - BD/20LTS";FUNGICIDAS
"					  594005";"					  FOX XPRO - GL/5LTS";FUNGICIDAS
"					  609479";"					  FUSAO EC - GL/10LTS";FUNGICIDAS
"					  906945";"					  FUSAO EC - GL/5LTS";FUNGICIDAS
"					  361124";"					  INFINITO - LITRO";FUNGICIDAS
"					  20924";"					  KASUMIN - GL/5LTS";FUNGICIDAS
"					  15384";"					  KEYRA - GL/5LTS";FUNGICIDAS
"					  385970";"					  MAXIM ADVANCED - BD/20LTS";FUNGICIDAS
"					  865785";"					  MAXIM ADVANCED - GL/05LTS";FUNGICIDAS
"					  243517";"					  MAXIM XL  -  LT";FUNGICIDAS
"					  10266";"					  MAXIM XL -  BD/20LTS";FUNGICIDAS
"					  244050";"					  MAXIM XL  GL/5LTS";FUNGICIDAS
"					  22882";"					  MELYRA - GL/10LTS";FUNGICIDAS
"					  10479";"					  MELYRA - GL/5LTS";FUNGICIDAS
"					  334135";"					  MERTIN 400 - GL/5LT";FUNGICIDAS
"					  202586";"					  MERTIN 400 - LT";FUNGICIDAS
"					  4181";"					  MIRAVIS - GL/5LTS";FUNGICIDAS
"					  4185";"					  MIRAVIS DUO - BD/20LTS";FUNGICIDAS
"					  4184";"					  MIRAVIS DUO - GL/5LTS";FUNGICIDAS
"					  17653";"					  MIRAVIS PRO - BD/20LTS";FUNGICIDAS
"					  17652";"					  MIRAVIS PRO - GL/5LTS";FUNGICIDAS
"					  906864";"					  MITRION - BD/20LTS";FUNGICIDAS
"					  906872";"					  MITRION - GL/5LTS";FUNGICIDAS
"					  283336";"					  NATIVO  GL/5LTS";FUNGICIDAS
"					  441241";"					  NATIVO BD/20LTS";FUNGICIDAS
"					  20718";"					  NATIVO PLUS - GL/5LTS";FUNGICIDAS
"					  10848";"					  ONSUVA - GL/5LTS";FUNGICIDAS
"					  258956";"					  OPERA  GL/5LTS";FUNGICIDAS
"					  393948";"					  ORKESTRA SC - GL/5LTS";FUNGICIDAS
"					  453118";"					  ORKESTRA SC - LT";FUNGICIDAS
"					  403307";"					  PREVINIL - BD/20LTS";FUNGICIDAS
"					  404257";"					  PREVINIL - GL/5LTS";FUNGICIDAS
"					  16517";"					  PREVINIL MAX - BD/20LTS";FUNGICIDAS
"					  453100";"					  PRIORI - XTRA BD/20LTS";FUNGICIDAS
"					  292033";"					  PRIORI - XTRA GL/5LTS";FUNGICIDAS
"					  929058";"					  PRIORI TOP - BD/20LTS";FUNGICIDAS
"					  929040";"					  PRIORI TOP - GL/5LTS";FUNGICIDAS
"					  356242";"					  RIVAL 200 EC GL/5LTS";FUNGICIDAS
"					  453207";"					  RIVAX - GL/5LTS";FUNGICIDAS
"					  264212";"					  ROVRAL SC - LITRO";FUNGICIDAS
"					  218830";"					  SCORE  GL/5LTS";FUNGICIDAS
"					  387794";"					  SCORE FLEXI - LT";FUNGICIDAS
"					  387808";"					  SCORE FLEXI GL/5LTS";FUNGICIDAS
"					  23290";"					  SEEKER - BD/20LTS";FUNGICIDAS
"					  323893";"					  SPHERE MAX - LITRO";FUNGICIDAS
"					  323877";"					  SPHERE MAX GL/5LTS";FUNGICIDAS
"					  7972";"					  SUGOY - GL/10LTS";FUNGICIDAS
"					  449722";"					  TILT - GL/5LTS";FUNGICIDAS
"					  27503";"					  UNIZEB FLOW - GL/05LTS";FUNGICIDAS
"					  481731";"					  UNIZEB GOLD PCT/10KG";FUNGICIDAS
